Passage Title,Question ID,Sentence Context,Option A,Option B,Option C,Option D,Option E,Correct Answer
The Treehouse,6,I helped by passing him the (6).,tool,tools,tooling,toold,toolbox,B
The Treehouse,7,It took all weekend to (7).,finish,finished,finishing,finishes,finisher,A
The Treehouse,8,When it was done, we pulled up a rope (8).,ladder,ladders,laddering,laddered,lade,A
The Treehouse,9,It was my own private (9).,space,spaced,spacing,spaces,spacious,A
The Treehouse,10,I could see the whole garden from (10) there.,up,upper,upon,upward,ups,A
The Treehouse,11,I plan to sleep there in the (11).,summer,summers,summery,summer's,summertime,A
The Treehouse,12,It is the best place to (12) comics.,read,red,reading,reads,reader,A
The Concert,1,The school hall was filled with (1) parents.,proud,proudly,pride,prided,proudest,A
The Concert,2,The orchestra had been (2) for months.,practice,practise,practising,practised,practises,C
The Concert,3,I played the violin and was very (3).,nerve,nervous,nervously,nervousness,nerves,B
The Concert,4,My hands were (4) slightly.,shake,shook,shaking,shaken,shakes,C
The Concert,5,The conductor raised his (5).,bat,baton,battle,batter,batting,B
The Concert,6,The music began soft and (6).,sweet,sweetly,sweetness,sweeter,sweetest,A
The Concert,7,Then the drums joined in (7).,loud,loudly,loudness,louden,louder,B
The Concert,8,I didn't make a single (8).,mistake,mistook,mistaken,mistaking,mistakes,A
The Concert,9,When we finished, everyone stood (9).,up,upon,upper,upward,ups,A
The Concert,10,They clapped and (10).,cheer,cheered,cheering,cheers,cheerful,B
The Concert,11,I felt a huge surge of (11).,relieve,relieved,relief,relieving,relieves,C
The Concert,12,All the hard work had been (12) it.,worth,worthy,worthiness,worthless,worthwhile,A
The Desert Island,1,Robinson Crusoe was shipwrecked on an (1) island.,inhabit,inhabited,uninhabited,inhabitants,inhabiting,C
The Desert Island,2,He was the only (2).,survive,survivor,survived,survival,surviving,B
The Desert Island,3,At first, he felt very (3).,lone,lonely,loneliness,alone,lonesome,B
The Desert Island,4,He had to build a shelter to live (4).,in,on,at,by,with,A
The Desert Island,5,He hunted goats and caught fish to (5).,eat,ate,eaten,eating,eats,A
The Desert Island,6,He learned to make clothes from animal (6).,skin,skins,skinned,skinny,skinner,B
The Desert Island,7,One day, he found a footprint in the (7).,sand,sands,sandy,sander,sanded,A
The Desert Island,8,He realized he was not (8).,alone,lonely,lonesome,lone,loneliness,A
The Desert Island,9,He met a man he named (9).,Friday,Fridays,Friday's,Fri,Fried,A
The Desert Island,10,They became great (10).,friend,friends,friendly,friendship,befriend,B
The Desert Island,11,Eventually, a ship arrived to (11) them.,rescue,rescued,rescuing,rescues,rescuer,A
The Desert Island,12,He was happy to return to (12).,civil,civility,civilization,civilize,civilized,C


